name,type,region,locality,geolocation
War memorial in the village Tie,military glory,Oryol Region,Tie-Zaverh,Not found
War memorial cemetery in the North,military glory,Udmurt republic,Izhevsk,"(Decimal('53.206891'), Decimal('56.852676'))"
military burial,military glory,Novgorod region,Poddorye,"(Decimal('31.500656'), Decimal('57.912855'))"
Military burial Yasnaya Polyana,military glory,Novgorod region,,"(Decimal('31.561185'), Decimal('58.001304'))"
Military burial in Andrihnovo,military glory,Novgorod region,,"(Decimal('31.500656'), Decimal('57.912855'))"
Military graves in the village of Transitions,military glory,Novgorod region,transitions,"(Decimal('31.601663'), Decimal('57.848809'))"
Prisoners of war graves,military glory,Ivanovo region,,Not found
Military graves on the hill Snow,military glory,Primorsky Krai,border,Not found
Gallery Hero Cities,military glory,The Republic of Karelia,Petrozavodsk,"(Decimal('34.382299'), Decimal('61.786421'))"
hill Heroes,military glory,Krasnodar region,Tuapse,"(Decimal('39.096595'), Decimal('44.078845'))"
Ponyrovsky State Historical and Memorial Museum,military glory,Kursk region,Ponыri 1-e,"(Decimal('36.254693'), Decimal('52.322577'))"
"Diorama ""The landing of Yevpatoria landing January 5, 1942""",military glory,Republic of Crimea,Yevpatoriya,"(Decimal('33.371667'), Decimal('45.198321'))"
"Diorama 'Storm of Sapun Mountain May 7, 1944 """,military glory,Sevastopol,,Not found
Pavlov's House,architecture,Volgograd region,,"(Decimal('43.510799'), Decimal('48.655732'))"
The road of life,military glory,Leningrad region,Kobo,"(Decimal('31.550261'), Decimal('60.026631'))"
Hall of Military Glory Memorial complex at Mamayev Kurgan,military glory,Volgograd region,Volgograd,Not found
Hall of Military Glory,military glory,Novgorod region,Novgorod,"(Decimal('31.269915'), Decimal('58.52281'))"
Burial of Soviet soldiers who died in the Smolensk fortress wall,military glory,Smolensk region,Smolensk,Not found
"Anti-aircraft guns in honor of soldiers-gunners, who died fighting the fascist invaders",military glory,Krasnodar region,Krasnodar,Not found
Historical and Memorial Hall of military equipment and armament Airborne Troops,galleries,Ryazan Oblast,Ryazan,Not found
"Historical and Memorial Museum ""The command post of the Voronezh Front""",military glory,Kursk region,Kirov,"(Decimal('36.674422'), Decimal('51.299213'))"
Historical Reserve - the ruins of the mill them. KN Grudinina,architecture,Volgograd region,,Not found
Kazan Victory Park,military glory,Republic of Tatarstan,Kazan,"(Decimal('49.218937'), Decimal('55.771783'))"
"Boat ""hero""",military glory,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Room of military glory,military glory,Lipetsk region,red,"(Decimal('38.790503'), Decimal('52.863462'))"
Memorial Complex of Fame,military glory,Bryansk region,Dubrovka,"(Decimal('33.504878'), Decimal('53.690163'))"
Complex-a memorial to soldiers-novosergievtsam,military glory,Orenburg region,Novosergievka,"(Decimal('53.644649'), Decimal('52.072607'))"
Komsomol fire years,military glory,Mari El Republic,Yoshkar-Ola,"(Decimal('47.84429'), Decimal('56.648845'))"
Equestrian monument to MI Platov,military glory,Rostov region,Novocherkassk,Not found
Krivtsovsky memorial,military glory,Oryol Region,Fatnevo,"(Decimal('36.234733'), Decimal('53.471588'))"
Barrow of Immortality in Readovskom park,military glory,Smolensk region,Smolensk,"(Decimal('30.997429'), Decimal('54.686572'))"
mound of Glory,military glory,Bryansk region,Suzemka,"(Decimal('34.079863'), Decimal('52.315916'))"
mound of Glory,military glory,Rostov region,Novocherkassk,"(Decimal('38.86694'), Decimal('47.558336'))"
Kurgan Military Glory in Kotelnikovo,military glory,Volgograd region,Котельниково,"(Decimal('43.140002'), Decimal('47.630077'))"
Lazarevski barracks,architecture,Sevastopol,,"(Decimal('33.525369'), Decimal('44.616604'))"
Malakoff,military glory,Sevastopol,,"(Decimal('33.547881'), Decimal('44.604662'))"
Mamayev Kurgan,military glory,Volgograd region,Volgograd,"(Decimal('44.533998'), Decimal('48.742644'))"
Мемориал &quot;Вечный огонь славы&quot;,military glory,Novgorod region,,Not found
Мемориал &quot;Долина героев&quot;,military glory,The Republic of Karelia,Pitkyaranta,Not found
Мемориал &quot;Катюша&quot;,military glory,Leningrad region,,Not found
Мемориал &quot;Скорбящий матрос&quot; в Нижнем Тортолово,military glory,Leningrad region,,Not found
Мемориал &quot;Тамбовский колхозник&quot;,military glory,Tambov Region,Tambov,Not found
Memorial 25 komsomols,military glory,Leningrad region,,Not found
"Memorial ""Afghan Gate""",military glory,Penza region,Penza,"(Decimal('45.018316'), Decimal('53.195042'))"
"Memorial ""Nameless Height""",military glory,Leningrad region,big rapids,"(Decimal('30.775195'), Decimal('59.773003'))"
"Memorial ""Armored Victory""",military glory,Tula region,Black,"(Decimal('36.905065'), Decimal('53.458406'))"
"Memorial ""in honor of the heroes of the Battle of Kursk""",military glory,Belgorod region,,"(Decimal('37.303198'), Decimal('50.872231'))"
"Memorial ""Valimsky abroad""",military glory,Leningrad region,Volkhov,"(Decimal('32.334742'), Decimal('59.906594'))"
"Memorial ""Eternal glory to the Fire""",military glory,Kabardino-Balkar Republic,Nalchik,"(Decimal('43.593794'), Decimal('43.475407'))"
"Memorial ""Eternal Flame"". Monument to fallen countrymen in the Great Patriotic War of 1941-1945.",military glory,Yamalo-Nenets Autonomous Okrug,Nadym,"(Decimal('72.531341'), Decimal('65.535924'))"
"Memorial ""Warriors of the Civil and the Great Patriotic War, soldiers - internationalists""",military glory,Rostov region,proletarian,Not found
"Memorial ""Gorky - Front""",military glory,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
"Memorial ""Gostilitsy""",military glory,Leningrad region,Gostilitsy,"(Decimal('29.622872'), Decimal('59.746038'))"
"Memorial ""Alyosha Monument"" ( ""Alyosha"")",military glory,Murmansk region,Murmansk,"(Decimal('33.074981'), Decimal('68.970682'))"
"Memorial ""punishing sword""",military glory,Udmurt republic,Izhevsk,"(Decimal('53.206891'), Decimal('56.852676'))"
"Memorial ""Hill of Glory""",military glory,Republic of Crimea,,"(Decimal('33.259566'), Decimal('45.178959'))"
"Memorial ""line of defense""",military glory,Novgorod region,,"(Decimal('31.261983'), Decimal('58.515257'))"
"Memorial ""Bald Mountain""",architecture,Volgograd region,,"(Decimal('44.395334'), Decimal('48.642053'))"
"Memorial ""Lubin field""",military glory,Novgorod region,,"(Decimal('30.44165'), Decimal('58.48234'))"
"Memorial ""Mironova gora""",military glory,Voronezh region,new Kalitva,"(Decimal('40.010469'), Decimal('50.082582'))"
"Memorial ""Tomb of the Unknown Soldier"" in Kohma",military glory,Ivanovo region,Kokhma,"(Decimal('41.093208'), Decimal('56.932531'))"
"Memorial ""Meat Bor""",military glory,Novgorod region,,"(Decimal('31.473689'), Decimal('58.820551'))"
"Memorial ""fell in the battles for the Motherland and the victims of fascism, 1941-1945.""",military glory,Krasnodar region,Anapa,"(Decimal('37.31617'), Decimal('44.894965'))"
"Memorial ""Partisan Glory""",military glory,Leningrad region,,"(Decimal('29.890462'), Decimal('58.849827'))"
"Memorial ""Crossing""",military glory,Leningrad region,Sheremetevka,"(Decimal('31.032167'), Decimal('59.957174'))"
"Memorial ""Breakthrough""",military glory,Rostov region,Tatsinskaya,"(Decimal('41.283229'), Decimal('48.192638'))"
"Memorial ""Sambekskie height""",military glory,Rostov region,Sambek,"(Decimal('39.022457'), Decimal('47.333142'))"
"Memorial ""Glory to Heroes""",military glory,Leningrad region,Tikhvin,"(Decimal('33.542096'), Decimal('59.644209'))"
"Memorial ""Anchor""",military glory,Leningrad region,,"(Decimal('29.54338'), Decimal('59.93245'))"
Memorial of Eternal Glory,military glory,Lipetsk region,Lipetsk,"(Decimal('39.59922'), Decimal('52.60882'))"
Memorial Patriotic War,military glory,Perm,wasp,"(Decimal('55.470169'), Decimal('57.288389'))"
Memorial Pyryatynsky Division,military glory,The Republic of Khakassia,Abakan,"(Decimal('91.397993'), Decimal('53.838374'))"
Memorial to the victory in the Great Patriotic War,military glory,Moscow,,"(Decimal('37.617635'), Decimal('55.755814'))"
Memorial of Glory,military glory,The Republic of Sakha (Yakutia),Neryungri,"(Decimal('124.720315'), Decimal('56.659948'))"
Memorial of Glory,military glory,Lipetsk region,Sagittarius,"(Decimal('38.217728'), Decimal('52.409814'))"
Glory Memorial in the village Chaltyr,military glory,Rostov region,Chaltyr,"(Decimal('39.499929'), Decimal('47.284214'))"
Memorial in Red Hills,military glory,Leningrad region,red Mountain,"(Decimal('29.638395'), Decimal('58.947355'))"
Memorial to soldiers in Palekh,military glory,Ivanovo region,Palekh,Not found
Memorial to soldiers who fell in the Great Patriotic War of 1941-1945,military glory,The Republic of Dagestan,Makhachkala,Not found
"Memorial to soldiers, partisans and underground",military glory,Bryansk region,Dyatkovo,Not found
Memorial fellow soldiers who died during World War II,military glory,Kemerovo region,Krapivinskii,Not found
Memorial to soldiers kuzbassovtsev,military glory,Kemerovo region,Kemerovo,"(Decimal('86.088374'), Decimal('55.354727'))"
"Memorial to soldiers-Ryazantsev, who died in local wars",military glory,Ryazan Oblast,Ryazan,Not found
Memorial tazovchanam soldiers who died during the Great Patriotic War,military glory,Yamalo-Nenets Autonomous Okrug,Taz,"(Decimal('80.351481'), Decimal('67.875308'))"
Memorial of Military Glory,military glory,Stavropol region,Pyatigorsk,"(Decimal('43.07084'), Decimal('44.03929'))"
"Memorial of Military Glory ""Marina Grove""",military glory,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.871095'), Decimal('56.246271'))"
Military Glory Memorial in honor of Montenegrin soldiers who died in the Great Patriotic War,military glory,The Republic of Khakassia,Sayanogorsk,Not found
Memorial to the heroes of Sevastopol Defense of 1941-1942,military glory,Sevastopol,,"(Decimal('33.437684'), Decimal('44.59438'))"
Memorial to the heroes of the Great Patriotic War,military glory,Omsk region,Omsk,Not found
Memorial to the Victims of Fascism,military glory,Krasnodar region,Krasnodar,"(Decimal('39.0135'), Decimal('45.089375'))"
Memorial to the victims of fascism in the mine Krasin,military glory,Rostov region,mine,"(Decimal('40.215797'), Decimal('47.709601'))"
"Memorial to victims of the Nazi occupation of the Crimea of ​​1941-1944. Concentration ""Red""",military glory,Republic of Crimea,peaceful,Not found
"Memorial Museum-Reserve ""Kulikovo Field"" on the Red Hill",military glory,Tula region,Ivanovka-2,"(Decimal('37.652768'), Decimal('54.270249'))"
Memorial on Bykovsky cemetery,military glory,Moscow region,Zhukovsky,"(Decimal('38.119802'), Decimal('55.597475'))"
Memorial on the spot death of Soviet prisoners of war,military glory,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Memorial to the liberators of Pskov,military glory,Pskov region,Pskov,"(Decimal('31.070534'), Decimal('58.945126'))"
Memorial,military glory,Lipetsk region,Dolgorukov,"(Decimal('38.354083'), Decimal('52.323552'))"
"Memorial ""Cedar Park""",military glory,Arhangelsk region,İlinsko-Podomskoe,"(Decimal('47.972255'), Decimal('61.125625'))"
"Memorial ""Grieving Mother""",military glory,Bryansk region,Novozybkov,Not found
Memorial-alsibovtsev pilots,military glory,The Republic of Sakha (Yakutia),Zabaykalsk,"(Decimal('114.911844'), Decimal('60.713731'))"
"Memorial novokuznechan memory of those killed in ""hot spots""",military glory,Kemerovo region,Novokuznetsk,"(Decimal('87.136044'), Decimal('53.757547'))"
Memorial to the participants in the operation to blow up the Blue Bridge,military glory,Bryansk region,Vygonichi,"(Decimal('34.062948'), Decimal('53.104303'))"
"Victory Memorial Tank T-34 ""Irkutsk Komsomolets""",military glory,Irkutsk region,Irkutsk,"(Decimal('104.263664'), Decimal('52.380166'))"
Memorial to fallen soldiers of the Great Patriotic War,military glory,Rostov region,Peşkovo,"(Decimal('39.391925'), Decimal('47.017939'))"
"Memorial to those killed workers factory ""Red Dawn""",military glory,Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
"Memorial workers of the plant ""Daldizel"" who died during the Great Patriotic War",military glory,Khabarovsk region,Khabarovsk,"(Decimal('135.071917'), Decimal('48.480223'))"
"Memorial workers of the plant. Kirov, who died during the Great Patriotic War",military glory,Khabarovsk region,Khabarovsk,"(Decimal('135.071917'), Decimal('48.480223'))"
the memorial,military glory,Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.677118'), Decimal('42.999817'))"
A memorial to soldiers killed in the Great Patriotic War,military glory,Novosibirsk region,,Not found
"Memorial Tula, who died during the Great Patriotic War of 1941-1945",military glory,Tula region,Mendeleev,Not found
Memorial-park complex heroes of the First World War,military glory,Moscow,,"(Decimal('37.51229'), Decimal('55.799644'))"
Memorial Russian and German soldiers' cemetery in Rossoshka,architecture,Volgograd region,,Not found
"The memorial ""The leading edge of the Defense Minor Earth 1943""",military glory,Krasnodar region,Novorossiysk,Not found
"Мемориальный комплекс &quot;Астрача, 1941&quot;",military glory,Leningrad region,ASTRACAM,Not found
Мемориальный комплекс &quot;Высота Бессмертия&quot;,military glory,Rostov region,Belaya Kalitva,Not found
Мемориальный комплекс &quot;Журавли&quot;,military glory,Penza region,Penza,"(Decimal('44.990172'), Decimal('53.212134'))"
Memorial Complex 9 Heroes of the Soviet Union,military glory,Republic of Crimea,Geroyskoe,"(Decimal('33.746489'), Decimal('45.138086'))"
"The memorial complex ""Avenue of Military Glory""",military glory,Astrakhan region,Astrakhan,"(Decimal('47.977834'), Decimal('46.418013'))"
"The memorial complex ""Avenue of Heroes""",military glory,Republic of Kalmykia,Elista,"(Decimal('44.262186'), Decimal('46.306871'))"
"The memorial complex ""Alyosha-Siberian""",military glory,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
"The memorial complex ""Big Oak""",military glory,Kursk region,,"(Decimal('35.86124'), Decimal('52.084939'))"
"The memorial complex ""Eternal Flame""",military glory,The Republic of Sakha (Yakutia),Yakutsk,"(Decimal('129.732178'), Decimal('62.027216'))"
"The memorial complex ""Eternal Flame""",military glory,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
"The memorial complex ""Height 194.0 Cucumber""",military glory,Lipetsk region,,Not found
"Memorial Complex ""City of Military Glory»",military glory,Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
"The memorial complex ""Valley of Death""",military glory,Krasnodar region,Novorossiysk,"(Decimal('37.768974'), Decimal('44.723912'))"
"The memorial complex ""The Don Cossacks in the struggle with the Bolsheviks""",military glory,Rostov region,,Not found
"The memorial complex ""For heroism in battle, for the feat in the work of his fellow townspeople grateful""",military glory,Kemerovo region,Leninsk-Kuznetsky,Not found
"Memorial Complex ""Defenders of the sky of the Motherland""",military glory,Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
"The memorial complex ""The command post of the Central Front""",military glory,Kursk region,freedom,Not found
"The memorial complex ""Kumzhenskaya Grove""",military glory,Rostov region,Rostov-on-Don,"(Decimal('39.618363'), Decimal('47.185015'))"
"The memorial complex ""Kursk""",military glory,Kursk region,Kursk,"(Decimal('36.193186'), Decimal('51.73083'))"
"The memorial complex ""The sailors who died in peacetime""",viewing platforms,Murmansk region,Murmansk,Not found
"The memorial complex ""Courage is dedicated to""",military glory,Kemerovo region,"Kiselyovsk,","(Decimal('86.636679'), Decimal('54.006025'))"
"The memorial complex ""fallen warriors""",military glory,Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
"The memorial complex ""fallen heroes during the Great Patriotic War 1941 - 1945""",military glory,Rostov region,Semikarakorsk,Not found
"The memorial complex ""Memory of the Victims of Fascism in Zmievskoy beam""",military glory,Rostov region,Rostov-on-Don,Not found
"The memorial complex ""Memory of the fallen in the Great Patriotic War of 1941-1945""",military glory,Kursk region,Kursk,Not found
"The memorial complex ""area of ​​the 40th anniversary of the Victory""",military glory,Rostov region,mine,"(Decimal('40.214009'), Decimal('47.707351'))"
"The memorial complex ""Memory Field""",military glory,Smolensk region,Demidov,"(Decimal('31.515011'), Decimal('55.26444'))"
"The memorial complex ""Soldier Field""",architecture,Volgograd region,hillfort,"(Decimal('44.476192'), Decimal('48.809658'))"
"The memorial complex ""Terbunsky abroad""",military glory,Lipetsk region,ponds,"(Decimal('38.730971'), Decimal('52.0905'))"
